group,element,multiplicity,mean_cls_eV,std_cls_eV,min_cls_eV,max_cls_eV,atom_indices
C_L_alpha,C,4,-0.9632279166666677,0.033965903031572396,-1.0045404166666714,-0.9215604166666651,4 5 42 43
C_alpha,C,4,-0.7366904166666615,0.37035052538102486,-1.1251304166666642,-0.3586404166666597,20 21 26 27
C_M,C,4,-0.13601541666666606,0.08605399017477215,-0.2359704166666603,-0.033940416666666806,6 13 28 35
C_L_beta,C,4,0.16335708333333443,0.023932641282356917,0.13341958333333537,0.19157958333333625,2 3 44 45
C_beta,C,4,0.529014583333332,0.0974247066970197,0.43099958333333177,0.6282795833333381,22 23 24 25
C_b,C,12,0.10264875000000136,0.08347207331979661,-0.025140416666658894,0.2306595833333347,14 15 16 17 18 19 29 30 31 32 33 34
C_w,C,12,-0.1026487499999978,0.18318420828196247,-0.46666041666667013,0.0916595833333389,7 8 9 10 11 12 36 37 38 39 40 41
C_COOH,C,2,-3.7572204166666694,0.06398000000000081,-3.82120041666667,-3.6932404166666686,80 84
N_L,N,2,-1.6289224999999874,0.002970000000004802,-1.6318924999999922,-1.6259524999999826,46 49
N,N,2,1.6289225000000016,0.06250500000000159,1.5664175,1.6914275000000032,47 48
