atom_index,element,group
2,C,C_L_beta
3,C,C_L_beta
4,C,C_L_alpha
5,C,C_L_alpha
6,C,C_M
7,C,C_w
8,C,C_w
9,C,C_w
10,C,C_w
11,C,C_w
12,C,C_w
13,C,C_M
14,C,C_b
15,C,C_b
16,C,C_b
17,C,C_b
18,C,C_b
19,C,C_b
20,C,C_alpha
21,C,C_alpha
22,C,C_beta
23,C,C_beta
24,C,C_beta
25,C,C_beta
26,C,C_alpha
27,C,C_alpha
28,C,C_M
29,C,C_b
30,C,C_b
31,C,C_b
32,C,C_b
33,C,C_b
34,C,C_b
35,C,C_M
36,C,C_w
37,C,C_w
38,C,C_w
39,C,C_w
40,C,C_w
41,C,C_w
42,C,C_L_alpha
43,C,C_L_alpha
44,C,C_L_beta
45,C,C_L_beta
46,N,N_L
47,N,N
48,N,N
49,N,N_L
80,C,C_COOH
84,C,C_COOH
