group,element,multiplicity,mean_cls_eV,std_cls_eV,min_cls_eV,max_cls_eV,atom_indices
C_L_alpha,C,4,-0.9502337499999918,0.02572709175169293,-0.9814437499999968,-0.9161037499999907,4 5 42 43
C_alpha,C,4,-0.7366837499999903,0.3786208081313004,-1.1205937499999834,-0.3497037499999891,20 21 26 27
C_M,C,4,-0.12175124999999198,0.08099349923759203,-0.21693374999999548,-0.027333749999996826,6 13 28 35
C_L_beta,C,4,0.17305625000001257,0.02267482855502837,0.13486625000001595,0.19440625000001432,2 3 44 45
C_beta,C,4,0.5188362500000068,0.10443680361826768,0.4097662500000041,0.6256162500000073,22 23 24 25
C_b,C,12,0.10832958333334257,0.08795913362970938,-0.05897374999999272,0.2559262500000159,14 15 16 17 18 19 29 30 31 32 33 34
C_w,C,12,-0.10832958333332361,0.1841719497941321,-0.46796374999999557,0.07866625000001193,7 8 9 10 11 12 36 37 38 39 40 41
C_COOH,C,2,-3.7194887499999894,0.013875000000005855,-3.733363749999995,-3.7056137499999835,80 84
N_L,N,2,-1.6213050000000067,0.0060599999999908505,-1.6273649999999975,-1.6152450000000158,46 49
N,N,2,1.6213049999999924,0.05969000000000335,1.561614999999989,1.6809949999999958,47 48
