project,atom_index,element,group,x_A,y_A,z_A,qe_type,is_contribution_eV,reference_definition,reference_eV,cls_eV
cross,2,C,C_L_beta,10.898888,15.466596,14.460025,2,-75.64845,mean(C_b+C_w),-75.25870958333333,0.3897404166666689
cross,3,C,C_L_beta,9.846648,14.584051,14.409251,2,-75.65999,mean(C_b+C_w),-75.25870958333333,0.4012804166666655
cross,4,C,C_L_alpha,12.04267,14.732071,14.94084,2,-74.59647,mean(C_b+C_w),-75.25870958333333,-0.6622395833333314
cross,5,C,C_L_alpha,10.355275,13.314425,14.874094,2,-74.64871,mean(C_b+C_w),-75.25870958333333,-0.6099995833333338
cross,6,C,C_M,13.328228,15.252386,15.250331,2,-75.06842,mean(C_b+C_w),-75.25870958333333,-0.19028958333332469
cross,7,C,C_w,12.795504,18.962608,15.844772,2,-75.26188,mean(C_b+C_w),-75.25870958333333,0.003170416666677056
cross,8,C,C_w,13.973631,19.49699,15.313751,2,-75.34258,mean(C_b+C_w),-75.25870958333333,0.08387041666667017
cross,9,C,C_w,12.582337,17.585939,15.844069,2,-75.35189,mean(C_b+C_w),-75.25870958333333,0.09318041666666943
cross,10,C,C_w,14.944781,18.63983,14.789003,2,-75.27549,mean(C_b+C_w),-75.25870958333333,0.016780416666676956
cross,11,C,C_w,13.539619,16.706488,15.29757,2,-74.9798,mean(C_b+C_w),-75.25870958333333,-0.2789095833333306
cross,12,C,C_w,14.727708,17.265886,14.773577,2,-75.34424,mean(C_b+C_w),-75.25870958333333,0.08553041666667127
cross,13,C,C_M,9.596137,12.165318,15.222931,2,-75.08989,mean(C_b+C_w),-75.25870958333333,-0.16881958333333102
cross,14,C,C_b,6.222935,13.518452,16.305817,2,-75.28808,mean(C_b+C_w),-75.25870958333333,0.029370416666665733
cross,15,C,C_b,5.369098,12.472735,15.936277,2,-75.33732,mean(C_b+C_w),-75.25870958333333,0.07861041666667745
cross,16,C,C_b,7.590015,13.429713,16.056816,2,-75.33636,mean(C_b+C_w),-75.25870958333333,0.07765041666667116
cross,17,C,C_b,5.895688,11.340758,15.31035,2,-75.24359,mean(C_b+C_w),-75.25870958333333,-0.01511958333333041
cross,18,C,C_b,8.141007,12.291255,15.425606,2,-74.99186,mean(C_b+C_w),-75.25870958333333,-0.2668495833333253
cross,19,C,C_b,7.261304,11.252636,15.05371,2,-75.35506,mean(C_b+C_w),-75.25870958333333,0.09635041666666666
cross,20,C,C_alpha,14.456367,14.428831,15.511492,2,-74.623,mean(C_b+C_w),-75.25870958333333,-0.6357095833333233
cross,21,C,C_alpha,10.196863,10.90789,15.508858,2,-74.64479,mean(C_b+C_w),-75.25870958333333,-0.6139195833333275
cross,22,C,C_beta,15.634165,14.863563,16.216681,2,-75.68387,mean(C_b+C_w),-75.25870958333333,0.4251604166666709
cross,23,C,C_beta,9.561796,9.831223,16.224424,2,-75.67944,mean(C_b+C_w),-75.25870958333333,0.42073041666667166
cross,24,C,C_beta,16.510912,13.814367,16.21258,2,-75.68335,mean(C_b+C_w),-75.25870958333333,0.4246404166666764
cross,25,C,C_beta,10.441197,8.78406,16.228779,2,-75.67981,mean(C_b+C_w),-75.25870958333333,0.4211004166666754
cross,26,C,C_alpha,15.875789,12.741562,15.49136,2,-74.6471,mean(C_b+C_w),-75.25870958333333,-0.6116095833333333
cross,27,C,C_alpha,11.618371,9.221495,15.5238,2,-74.63056,mean(C_b+C_w),-75.25870958333333,-0.6281495833333253
cross,28,C,C_M,16.475107,11.48557,15.197838,2,-75.09565,mean(C_b+C_w),-75.25870958333333,-0.1630595833333217
cross,29,C,C_b,18.815073,12.394846,15.060302,2,-75.35766,mean(C_b+C_w),-75.25870958333333,0.0989504166666677
cross,30,C,C_b,17.928335,11.352603,15.404972,2,-74.97469,mean(C_b+C_w),-75.25870958333333,-0.28401958333333255
cross,31,C,C_b,20.178955,12.293333,15.320769,2,-75.25582,mean(C_b+C_w),-75.25870958333333,-0.002889583333328005
cross,32,C,C_b,18.470846,10.199007,16.015318,2,-75.3362,mean(C_b+C_w),-75.25870958333333,0.07749041666667722
cross,33,C,C_b,20.697405,11.142955,15.919611,2,-75.33282,mean(C_b+C_w),-75.25870958333333,0.07411041666667018
cross,34,C,C_b,19.836426,10.094592,16.263601,2,-75.29601,mean(C_b+C_w),-75.25870958333333,0.0373004166666675
cross,35,C,C_M,12.745284,8.399653,15.254068,2,-75.07292,mean(C_b+C_w),-75.25870958333333,-0.18578958333333162
cross,36,C,C_w,11.353646,6.370196,14.81189,2,-75.33057,mean(C_b+C_w),-75.25870958333333,0.07186041666666654
cross,37,C,C_w,12.543071,6.944817,15.315274,2,-74.98115,mean(C_b+C_w),-75.25870958333333,-0.2775595833333284
cross,38,C,C_w,11.150356,4.994204,14.841004,2,-75.28233,mean(C_b+C_w),-75.25870958333333,0.023620416666673805
cross,39,C,C_w,13.51577,6.079001,15.856005,2,-75.3591,mean(C_b+C_w),-75.25870958333333,0.10039041666667003
cross,40,C,C_w,12.136504,4.150304,15.35932,2,-75.33109,mean(C_b+C_w),-75.25870958333333,0.07238041666667527
cross,41,C,C_w,13.316601,4.700149,15.870195,2,-75.26344,mean(C_b+C_w),-75.25870958333333,0.0047304166666748415
cross,42,C,C_L_alpha,15.712557,10.340213,14.840712,2,-74.65483,mean(C_b+C_w),-75.25870958333333,-0.6038795833333239
cross,43,C,C_L_alpha,14.02599,8.921761,14.923697,2,-74.59913,mean(C_b+C_w),-75.25870958333333,-0.6595795833333256
cross,44,C,C_L_beta,16.215143,9.073192,14.363465,2,-75.66845,mean(C_b+C_w),-75.25870958333333,0.40974041666667915
cross,45,C,C_L_beta,15.163293,8.189664,14.425146,2,-75.65209,mean(C_b+C_w),-75.25870958333333,0.3933804166666732
cross,74,N,N_L,11.705259,13.415435,15.116071,3,-134.31453,mean(all N),-134.2227,0.09182999999998742
cross,75,N,N,14.604805,13.120255,15.116926,3,-134.13076,mean(all N),-134.2227,-0.09193999999999392
cross,76,N,N,11.46791,10.531654,15.134048,3,-134.12772,mean(all N),-134.2227,-0.09497999999999251
cross,77,N,N_L,14.365075,10.238111,15.09699,3,-134.31779,mean(all N),-134.2227,0.09508999999999901
twistedH2,2,C,C_L_beta,4.12735,-0.68977,-0.4848,2,-75.00839,mean(C_b+C_w),-75.08949458333333,-0.08110458333332815
twistedH2,3,C,C_L_beta,4.12813,0.6856,-0.4841,2,-75.00807,mean(C_b+C_w),-75.08949458333333,-0.08142458333333025
twistedH2,4,C,C_L_alpha,2.83986,-1.10594,0.00996,2,-73.88169,mean(C_b+C_w),-75.08949458333333,-1.2078045833333277
twistedH2,5,C,C_L_alpha,2.84083,1.10271,0.01018,2,-73.8791,mean(C_b+C_w),-75.08949458333333,-1.2103945833333398
twistedH2,6,C,C_M,2.41931,-2.43176,0.28567,2,-74.83024,mean(C_b+C_w),-75.08949458333333,-0.2592545833333304
twistedH2,7,C,C_w,5.47701,-4.64757,0.69062,2,-75.11039,mean(C_b+C_w),-75.08949458333333,0.020895416666661504
twistedH2,8,C,C_w,5.01484,-5.84945,0.14747,2,-75.12189,mean(C_b+C_w),-75.08949458333333,0.03239541666665957
twistedH2,9,C,C_w,4.66156,-3.51691,0.70405,2,-75.15973,mean(C_b+C_w),-75.08949458333333,0.07023541666666233
twistedH2,10,C,C_w,3.73098,-5.90807,-0.40513,2,-75.08095,mean(C_b+C_w),-75.08949458333333,-0.008544583333332412
twistedH2,11,C,C_w,3.35651,-3.56561,0.17678,2,-74.82993,mean(C_b+C_w),-75.08949458333333,-0.2595645833333293
twistedH2,12,C,C_w,2.91242,-4.78112,-0.39534,2,-75.23344,mean(C_b+C_w),-75.08949458333333,0.14394541666666782
twistedH2,13,C,C_M,2.42166,2.42926,0.28238,2,-74.82571,mean(C_b+C_w),-75.08949458333333,-0.263784583333333
twistedH2,14,C,C_b,5.48469,4.63453,0.70216,2,-75.10907,mean(C_b+C_w),-75.08949458333333,0.019575416666668843
twistedH2,15,C,C_b,5.0309,5.83614,0.15154,2,-75.12312,mean(C_b+C_w),-75.08949458333333,0.0336254166666663
twistedH2,16,C,C_b,4.66423,3.50729,0.71296,2,-75.15861,mean(C_b+C_w),-75.08949458333333,0.0691154166666621
twistedH2,17,C,C_b,3.75123,5.89794,-0.41036,2,-75.08159,mean(C_b+C_w),-75.08949458333333,-0.007904583333328219
twistedH2,18,C,C_b,3.36339,3.55962,0.17593,2,-74.82968,mean(C_b+C_w),-75.08949458333333,-0.2598145833333376
twistedH2,19,C,C_b,2.92793,4.77478,-0.40298,2,-75.23118,mean(C_b+C_w),-75.08949458333333,0.141685416666661
twistedH2,20,C,C_alpha,1.0956,-2.76088,0.67344,2,-74.40457,mean(C_b+C_w),-75.08949458333333,-0.6849245833333271
twistedH2,21,C,C_alpha,1.09781,2.76208,0.66533,2,-74.40236,mean(C_b+C_w),-75.08949458333333,-0.6871345833333322
twistedH2,22,C,C_beta,0.68052,-4.00409,1.27724,2,-75.59932,mean(C_b+C_w),-75.08949458333333,0.509825416666672
twistedH2,23,C,C_beta,0.68336,4.00917,1.26107,2,-75.59534,mean(C_b+C_w),-75.08949458333333,0.5058454166666593
twistedH2,24,C,C_beta,-0.68575,-4.00411,1.27661,2,-75.59758,mean(C_b+C_w),-75.08949458333333,0.5080854166666597
twistedH2,25,C,C_beta,-0.68269,4.00892,1.26339,2,-75.59548,mean(C_b+C_w),-75.08949458333333,0.5059854166666611
twistedH2,26,C,C_alpha,-1.10061,-2.76117,0.67253,2,-74.40494,mean(C_b+C_w),-75.08949458333333,-0.6845545833333375
twistedH2,27,C,C_alpha,-1.09847,2.76195,0.66843,2,-74.40058,mean(C_b+C_w),-75.08949458333333,-0.6889145833333288
twistedH2,28,C,C_M,-2.42445,-2.43175,0.28523,2,-74.83096,mean(C_b+C_w),-75.08949458333333,-0.25853458333332924
twistedH2,29,C,C_b,-2.92112,-4.781,-0.3937,2,-75.23445,mean(C_b+C_w),-75.08949458333333,0.14495541666666156
twistedH2,30,C,C_b,-3.3635,-3.56459,0.17798,2,-74.83117,mean(C_b+C_w),-75.08949458333333,-0.25832458333333363
twistedH2,31,C,C_b,-3.74065,-5.90718,-0.40206,2,-75.08286,mean(C_b+C_w),-75.08949458333333,-0.006634583333337218
twistedH2,32,C,C_b,-4.66833,-3.51414,0.70594,2,-75.16059,mean(C_b+C_w),-75.08949458333333,0.0710954166666653
twistedH2,33,C,C_b,-5.02388,-5.84692,0.15185,2,-75.1262,mean(C_b+C_w),-75.08949458333333,0.03670541666666338
twistedH2,34,C,C_b,-5.48486,-4.64411,0.69421,2,-75.11173,mean(C_b+C_w),-75.08949458333333,0.022235416666660512
twistedH2,35,C,C_M,-2.42317,2.42916,0.2893,2,-74.82511,mean(C_b+C_w),-75.08949458333333,-0.2643845833333387
twistedH2,36,C,C_w,-2.94109,4.77554,-0.38637,2,-75.23099,mean(C_b+C_w),-75.08949458333333,0.14149541666667176
twistedH2,37,C,C_w,-3.3679,3.55739,0.19244,2,-74.82707,mean(C_b+C_w),-75.08949458333333,-0.26242458333332763
twistedH2,38,C,C_w,-3.76979,5.89482,-0.38673,2,-75.07974,mean(C_b+C_w),-75.08949458333333,-0.00975458333333279
twistedH2,39,C,C_w,-4.66515,3.49764,0.73759,2,-75.15907,mean(C_b+C_w),-75.08949458333333,0.069575416666666
twistedH2,40,C,C_w,-5.04519,5.82589,0.18382,2,-75.12203,mean(C_b+C_w),-75.08949458333333,0.032535416666661376
twistedH2,41,C,C_w,-5.49009,4.62152,0.73533,2,-75.11239,mean(C_b+C_w),-75.08949458333333,0.022895416666671053
twistedH2,42,C,C_L_alpha,-2.84294,-1.10513,0.00999,2,-73.88454,mean(C_b+C_w),-75.08949458333333,-1.2049545833333326
twistedH2,43,C,C_L_alpha,-2.84264,1.10329,0.01367,2,-73.87997,mean(C_b+C_w),-75.08949458333333,-1.2095245833333337
twistedH2,44,C,C_L_beta,-4.13054,-0.68717,-0.48274,2,-75.00823,mean(C_b+C_w),-75.08949458333333,-0.0812645833333363
twistedH2,45,C,C_L_beta,-4.13066,0.68818,-0.47992,2,-75.00727,mean(C_b+C_w),-75.08949458333333,-0.08222458333332838
twistedH2,46,N,N_L,2.06443,-0.0012,0.26198,3,-132.51833,mean(all N),-133.0147725,-0.49644250000000056
twistedH2,47,N,N,-0.00244,-1.99018,0.40295,3,-133.50975,mean(all N),-133.0147725,0.4949775000000045
twistedH2,48,N,N,-0.00062,1.98954,0.40106,3,-133.50878,mean(all N),-133.0147725,0.49400750000000926
twistedH2,49,N,N_L,-2.066,-0.0012,0.26198,3,-132.52223,mean(all N),-133.0147725,-0.4925424999999848
twistedO2,2,C,C_L_beta,4.08368,-0.6622,-0.25826,2,-74.94873,mean(C_b+C_w),-74.90639625,0.042333749999997394
twistedO2,3,C,C_L_beta,4.08348,0.68646,-0.26723,2,-74.93926,mean(C_b+C_w),-74.90639625,0.03286375000000419
twistedO2,4,C,C_L_alpha,2.78678,-1.10196,0.25963,2,-73.94161,mean(C_b+C_w),-74.90639625,-0.9647862500000031
twistedO2,5,C,C_L_alpha,2.78648,1.13275,0.24494,2,-73.92931,mean(C_b+C_w),-74.90639625,-0.9770862499999993
twistedO2,6,C,C_M,2.4415,-2.3795,0.42122,2,-74.60217,mean(C_b+C_w),-74.90639625,-0.30422624999999925
twistedO2,7,C,C_w,5.59842,-4.54135,0.59587,2,-74.89608,mean(C_b+C_w),-74.90639625,-0.01031625000000247
