atom_index,element,group,x_A,y_A,z_A,qe_type,is_contribution_eV,reference_definition,reference_eV,cls_eV
2,C,C_L_beta,10.898888,15.466596,14.460025,2,-75.64845,mean(C_b+C_w),-75.25870958333333,0.3897404166666689
3,C,C_L_beta,9.846648,14.584051,14.409251,2,-75.65999,mean(C_b+C_w),-75.25870958333333,0.4012804166666655
4,C,C_L_alpha,12.04267,14.732071,14.94084,2,-74.59647,mean(C_b+C_w),-75.25870958333333,-0.6622395833333314
5,C,C_L_alpha,10.355275,13.314425,14.874094,2,-74.64871,mean(C_b+C_w),-75.25870958333333,-0.6099995833333338
6,C,C_M,13.328228,15.252386,15.250331,2,-75.06842,mean(C_b+C_w),-75.25870958333333,-0.19028958333332469
7,C,C_w,12.795504,18.962608,15.844772,2,-75.26188,mean(C_b+C_w),-75.25870958333333,0.003170416666677056
8,C,C_w,13.973631,19.49699,15.313751,2,-75.34258,mean(C_b+C_w),-75.25870958333333,0.08387041666667017
9,C,C_w,12.582337,17.585939,15.844069,2,-75.35189,mean(C_b+C_w),-75.25870958333333,0.09318041666666943
10,C,C_w,14.944781,18.63983,14.789003,2,-75.27549,mean(C_b+C_w),-75.25870958333333,0.016780416666676956
11,C,C_w,13.539619,16.706488,15.29757,2,-74.9798,mean(C_b+C_w),-75.25870958333333,-0.2789095833333306
12,C,C_w,14.727708,17.265886,14.773577,2,-75.34424,mean(C_b+C_w),-75.25870958333333,0.08553041666667127
13,C,C_M,9.596137,12.165318,15.222931,2,-75.08989,mean(C_b+C_w),-75.25870958333333,-0.16881958333333102
14,C,C_b,6.222935,13.518452,16.305817,2,-75.28808,mean(C_b+C_w),-75.25870958333333,0.029370416666665733
15,C,C_b,5.369098,12.472735,15.936277,2,-75.33732,mean(C_b+C_w),-75.25870958333333,0.07861041666667745
16,C,C_b,7.590015,13.429713,16.056816,2,-75.33636,mean(C_b+C_w),-75.25870958333333,0.07765041666667116
17,C,C_b,5.895688,11.340758,15.31035,2,-75.24359,mean(C_b+C_w),-75.25870958333333,-0.01511958333333041
18,C,C_b,8.141007,12.291255,15.425606,2,-74.99186,mean(C_b+C_w),-75.25870958333333,-0.2668495833333253
19,C,C_b,7.261304,11.252636,15.05371,2,-75.35506,mean(C_b+C_w),-75.25870958333333,0.09635041666666666
20,C,C_alpha,14.456367,14.428831,15.511492,2,-74.623,mean(C_b+C_w),-75.25870958333333,-0.6357095833333233
21,C,C_alpha,10.196863,10.90789,15.508858,2,-74.64479,mean(C_b+C_w),-75.25870958333333,-0.6139195833333275
22,C,C_beta,15.634165,14.863563,16.216681,2,-75.68387,mean(C_b+C_w),-75.25870958333333,0.4251604166666709
23,C,C_beta,9.561796,9.831223,16.224424,2,-75.67944,mean(C_b+C_w),-75.25870958333333,0.42073041666667166
24,C,C_beta,16.510912,13.814367,16.21258,2,-75.68335,mean(C_b+C_w),-75.25870958333333,0.4246404166666764
25,C,C_beta,10.441197,8.78406,16.228779,2,-75.67981,mean(C_b+C_w),-75.25870958333333,0.4211004166666754
26,C,C_alpha,15.875789,12.741562,15.49136,2,-74.6471,mean(C_b+C_w),-75.25870958333333,-0.6116095833333333
27,C,C_alpha,11.618371,9.221495,15.5238,2,-74.63056,mean(C_b+C_w),-75.25870958333333,-0.6281495833333253
28,C,C_M,16.475107,11.48557,15.197838,2,-75.09565,mean(C_b+C_w),-75.25870958333333,-0.1630595833333217
29,C,C_b,18.815073,12.394846,15.060302,2,-75.35766,mean(C_b+C_w),-75.25870958333333,0.0989504166666677
30,C,C_b,17.928335,11.352603,15.404972,2,-74.97469,mean(C_b+C_w),-75.25870958333333,-0.28401958333333255
31,C,C_b,20.178955,12.293333,15.320769,2,-75.25582,mean(C_b+C_w),-75.25870958333333,-0.002889583333328005
32,C,C_b,18.470846,10.199007,16.015318,2,-75.3362,mean(C_b+C_w),-75.25870958333333,0.07749041666667722
33,C,C_b,20.697405,11.142955,15.919611,2,-75.33282,mean(C_b+C_w),-75.25870958333333,0.07411041666667018
34,C,C_b,19.836426,10.094592,16.263601,2,-75.29601,mean(C_b+C_w),-75.25870958333333,0.0373004166666675
35,C,C_M,12.745284,8.399653,15.254068,2,-75.07292,mean(C_b+C_w),-75.25870958333333,-0.18578958333333162
36,C,C_w,11.353646,6.370196,14.81189,2,-75.33057,mean(C_b+C_w),-75.25870958333333,0.07186041666666654
37,C,C_w,12.543071,6.944817,15.315274,2,-74.98115,mean(C_b+C_w),-75.25870958333333,-0.2775595833333284
38,C,C_w,11.150356,4.994204,14.841004,2,-75.28233,mean(C_b+C_w),-75.25870958333333,0.023620416666673805
39,C,C_w,13.51577,6.079001,15.856005,2,-75.3591,mean(C_b+C_w),-75.25870958333333,0.10039041666667003
40,C,C_w,12.136504,4.150304,15.35932,2,-75.33109,mean(C_b+C_w),-75.25870958333333,0.07238041666667527
41,C,C_w,13.316601,4.700149,15.870195,2,-75.26344,mean(C_b+C_w),-75.25870958333333,0.0047304166666748415
42,C,C_L_alpha,15.712557,10.340213,14.840712,2,-74.65483,mean(C_b+C_w),-75.25870958333333,-0.6038795833333239
43,C,C_L_alpha,14.02599,8.921761,14.923697,2,-74.59913,mean(C_b+C_w),-75.25870958333333,-0.6595795833333256
44,C,C_L_beta,16.215143,9.073192,14.363465,2,-75.66845,mean(C_b+C_w),-75.25870958333333,0.40974041666667915
45,C,C_L_beta,15.163293,8.189664,14.425146,2,-75.65209,mean(C_b+C_w),-75.25870958333333,0.3933804166666732
74,N,N_L,11.705259,13.415435,15.116071,3,-134.31453,mean(all N),-134.2227,0.09182999999998742
75,N,N,14.604805,13.120255,15.116926,3,-134.13076,mean(all N),-134.2227,-0.09193999999999392
76,N,N,11.46791,10.531654,15.134048,3,-134.12772,mean(all N),-134.2227,-0.09497999999999251
77,N,N_L,14.365075,10.238111,15.09699,3,-134.31779,mean(all N),-134.2227,0.09508999999999901
