atom_index,element,group,x_A,y_A,z_A,is_contribution_eV,reference,cls_eV
2,C,C_L_beta,4.23251,-0.7066,-0.15958,-75.72584,mean(C_b),0.2620925000000085
3,C,C_L_beta,4.24128,0.65513,-0.23747,-75.72299,mean(C_b),0.25924249999999915
4,C,C_L_alpha,2.86559,-1.11186,0.03353,-74.66448,mean(C_b),-0.7992674999999991
5,C,C_L_alpha,2.88065,1.09491,-0.07367,-74.68407,mean(C_b),-0.7796774999999911
6,C,C_M,2.43355,-2.45621,0.09961,-75.09443,mean(C_b),-0.36931749999999397
13,C,C_M,2.46972,2.44784,-0.0735,-75.12676,mean(C_b),-0.3369874999999922
14,C,C_b,5.61996,4.44296,0.67404,-75.48595,mean(C_b),0.022202500000005898
15,C,C_b,5.49575,5.51209,-0.21732,-75.50631,mean(C_b),0.0425625000000025
16,C,C_b,4.63605,3.45574,0.72865,-75.53151,mean(C_b),0.06776250000000061
17,C,C_b,4.37815,5.58503,-1.05369,-75.49263,mean(C_b),0.028882500000008804
18,C,C_b,3.51968,3.49522,-0.1293,-75.19839,mean(C_b),-0.26535749999999325
19,C,C_b,3.41039,4.57866,-1.02485,-75.56034,mean(C_b),0.09659249999999986
20,C,C_alpha,1.08395,-2.87012,0.11477,-74.66816,mean(C_b),-0.7955874999999963
21,C,C_alpha,1.1217,2.87225,0.01649,-74.68699,mean(C_b),-0.7767575000000022
22,C,C_beta,0.65393,-4.22161,0.35971,-75.7336,mean(C_b),0.26985249999999894
23,C,C_beta,0.70933,4.22643,0.28497,-75.73293,mean(C_b),0.26918249999999944
24,C,C_beta,-0.70995,-4.2245,0.30103,-75.73494,mean(C_b),0.27119249999999795
25,C,C_beta,-0.6543,4.22383,0.34387,-75.73229,mean(C_b),0.26854250000000945
26,C,C_alpha,-1.12238,-2.87223,0.02249,-74.69169,mean(C_b),-0.7720575000000025
27,C,C_alpha,-1.08422,2.87041,0.1078,-74.66524,mean(C_b),-0.7985074999999995
28,C,C_M,-2.47121,-2.44861,-0.07068,-75.13057,mean(C_b),-0.3331774999999908
29,C,C_b,-3.40252,-4.58965,-1.00921,-75.56477,mean(C_b),0.10102249999999913
30,C,C_b,-3.51979,-3.49725,-0.12501,-75.20023,mean(C_b),-0.26351749999999186
31,C,C_b,-4.36696,-5.5993,-1.03263,-75.49932,mean(C_b),0.03557250000000067
32,C,C_b,-4.64144,-3.45291,0.72587,-75.53334,mean(C_b),0.06959249999999884
33,C,C_b,-5.49117,-5.51993,-0.20565,-75.50679,mean(C_b),0.04304249999999854
34,C,C_b,-5.62363,-4.44191,0.67332,-75.48539,mean(C_b),0.021642499999998677
35,C,C_M,-2.43373,2.45593,0.09383,-75.0952,mean(C_b),-0.36854749999999115
42,C,C_L_alpha,-2.88244,-1.0956,-0.07178,-74.68617,mean(C_b),-0.7775774999999925
43,C,C_L_alpha,-2.86625,1.1116,0.0335,-74.66515,mean(C_b),-0.7985974999999996
44,C,C_L_beta,-4.24349,-0.65489,-0.23258,-75.72219,mean(C_b),0.258442500000001
45,C,C_L_beta,-4.23379,0.70688,-0.15579,-75.72451,mean(C_b),0.26076249999999845
46,N,N_L,2.05173,-0.00042,0.07751,-134.24405,mean(N),-0.003105000000033442
47,N,N,-0.01419,-2.05599,-0.07012,-134.24954,mean(N),0.0023849999999754345
48,N,N,0.01356,2.05544,-0.07098,-134.2501,mean(N),0.002944999999982656
49,N,N_L,-2.05275,-0.00042,0.07751,-134.24493,mean(N),-0.0022250000000099135
