structure,atom_index,element,group,x_A,y_A,z_A,is_contribution_eV,reference,reference_contribution_eV,cls_eV
PLDC-COOH,2,C,C_L_beta,4.18128,-0.70924,-0.15523,-75.6909,mean(C_b+C_w),-75.47220666666666,0.2186933333333343
PLDC-COOH,3,C,C_L_beta,4.18858,0.65455,-0.22936,-75.67408,mean(C_b+C_w),-75.47220666666666,0.20187333333333868
PLDC-COOH,4,C,C_L_alpha,2.84704,-1.10727,0.0145,-74.42461,mean(C_b+C_w),-75.47220666666666,-1.0475966666666636
PLDC-COOH,5,C,C_L_alpha,2.86417,1.08258,-0.0767,-74.44616,mean(C_b+C_w),-75.47220666666666,-1.0260466666666588
PLDC-COOH,6,C,C_M,2.46328,-2.41769,0.09846,-75.42465,mean(C_b+C_w),-75.47220666666666,-0.04755666666666514
PLDC-COOH,7,C,C_w,5.58784,-4.42624,0.91581,-75.49013,mean(C_b+C_w),-75.47220666666666,0.017923333333328628
PLDC-COOH,8,C,C_w,5.53883,-5.42858,-0.05839,-75.43575,mean(C_b+C_w),-75.47220666666666,-0.03645666666666614
PLDC-COOH,9,C,C_w,4.57294,-3.47005,0.98714,-75.64386,mean(C_b+C_w),-75.47220666666666,0.17165333333333876
PLDC-COOH,10,C,C_w,4.45447,-5.49537,-0.93787,-75.48465,mean(C_b+C_w),-75.47220666666666,0.012443333333337137
PLDC-COOH,11,C,C_w,3.5026,-3.49995,0.08014,-75.40021,mean(C_b+C_w),-75.47220666666666,-0.0719966666666636
PLDC-COOH,12,C,C_w,3.43418,-4.53973,-0.86662,-75.64462,mean(C_b+C_w),-75.47220666666666,0.17241333333333841
PLDC-COOH,13,C,C_M,2.50328,2.4095,-0.06772,-75.52189,mean(C_b+C_w),-75.47220666666666,0.04968333333333419
PLDC-COOH,14,C,C_b,5.68926,4.51837,0.63728,-75.69194,mean(C_b+C_w),-75.47220666666666,0.21973333333333755
PLDC-COOH,15,C,C_b,5.57987,5.63869,-0.2878,-75.53215,mean(C_b+C_w),-75.47220666666666,0.05994333333333657
