structure,atom_index,element,group,x_A,y_A,z_A,is_contribution_eV,reference,reference_contribution_eV,cls_eV
Planar,2,C,C_L_beta,4.23251,-0.7066,-0.15958,-75.72774,mean(C_b+C_w),-75.459605,0.2681350000000009
Planar,3,C,C_L_beta,4.24128,0.65513,-0.23747,-75.7248,mean(C_b+C_w),-75.459605,0.2651950000000056
Planar,4,C,C_L_alpha,2.86559,-1.11186,0.03353,-74.65806,mean(C_b+C_w),-75.459605,-0.8015449999999902
Planar,5,C,C_L_alpha,2.88065,1.09491,-0.07367,-74.67775,mean(C_b+C_w),-75.459605,-0.7818549999999931
Planar,6,C,C_M,2.43355,-2.45621,0.09961,-75.09373,mean(C_b+C_w),-75.459605,-0.3658750000000026
Planar,7,C,C_w,5.58465,-4.42266,0.91137,-75.47491,mean(C_b+C_w),-75.459605,0.015304999999997904
Planar,8,C,C_w,5.54358,-5.4247,-0.06165,-75.49996,mean(C_b+C_w),-75.459605,0.04035500000000525
Planar,9,C,C_w,4.56276,-3.47423,0.98744,-75.53266,mean(C_b+C_w),-75.459605,0.07305500000001075
Planar,10,C,C_w,4.45551,-5.48826,-0.93919,-75.50152,mean(C_b+C_w),-75.459605,0.04191500000000303
Planar,11,C,C_w,3.48004,-3.50639,0.08979,-75.18151,mean(C_b+C_w),-75.459605,-0.2780949999999933
Planar,12,C,C_w,3.43217,-4.54195,-0.86443,-75.54349,mean(C_b+C_w),-75.459605,0.08388500000000931
Planar,13,C,C_M,2.46972,2.44784,-0.0735,-75.12612,mean(C_b+C_w),-75.459605,-0.33348499999999603
Planar,14,C,C_b,5.61996,4.44296,0.67404,-75.48562,mean(C_b+C_w),-75.459605,0.02601500000000101
Planar,15,C,C_b,5.49575,5.51209,-0.21732,-75.50589,mean(C_b+C_w),-75.459605,0.04628499999999747
Planar,16,C,C_b,4.63605,3.45574,0.72865,-75.53027,mean(C_b+C_w),-75.459605,0.0706650000000053
Planar,17,C,C_b,4.37815,5.58503,-1.05369,-75.4922,mean(C_b+C_w),-75.459605,0.032595000000000596
Planar,18,C,C_b,3.51968,3.49522,-0.1293,-75.19643,mean(C_b+C_w),-75.459605,-0.2631749999999897
Planar,19,C,C_b,3.41039,4.57866,-1.02485,-75.55913,mean(C_b+C_w),-75.459605,0.09952499999999986
Planar,20,C,C_alpha,1.08395,-2.87012,0.11477,-74.66203,mean(C_b+C_w),-75.459605,-0.7975749999999948
Planar,21,C,C_alpha,1.1217,2.87225,0.01649,-74.68045,mean(C_b+C_w),-75.459605,-0.7791550000000029
Planar,22,C,C_beta,0.65393,-4.22161,0.35971,-75.73511,mean(C_b+C_w),-75.459605,0.27550500000000966
Planar,23,C,C_beta,0.70933,4.22643,0.28497,-75.73457,mean(C_b+C_w),-75.459605,0.2749650000000088
Planar,24,C,C_beta,-0.70995,-4.2245,0.30103,-75.73669,mean(C_b+C_w),-75.459605,0.2770849999999996
Planar,25,C,C_beta,-0.6543,4.22383,0.34387,-75.73362,mean(C_b+C_w),-75.459605,0.27401500000000567
Planar,26,C,C_alpha,-1.12238,-2.87223,0.02249,-74.6855,mean(C_b+C_w),-75.459605,-0.7741049999999916
Planar,27,C,C_alpha,-1.08422,2.87041,0.1078,-74.65879,mean(C_b+C_w),-75.459605,-0.800815
Planar,28,C,C_M,-2.47121,-2.44861,-0.07068,-75.13023,mean(C_b+C_w),-75.459605,-0.32937499999999886
Planar,29,C,C_b,-3.40252,-4.58965,-1.00921,-75.56389,mean(C_b+C_w),-75.459605,0.1042850000000044
Planar,30,C,C_b,-3.51979,-3.49725,-0.12501,-75.19849,mean(C_b+C_w),-75.459605,-0.26111499999998955
Planar,31,C,C_b,-4.36696,-5.5993,-1.03263,-75.49886,mean(C_b+C_w),-75.459605,0.03925499999999715
Planar,32,C,C_b,-4.64144,-3.45291,0.72587,-75.53231,mean(C_b+C_w),-75.459605,0.07270499999999913
Planar,33,C,C_b,-5.49117,-5.51993,-0.20565,-75.50643,mean(C_b+C_w),-75.459605,0.04682499999999834
Planar,34,C,C_b,-5.62363,-4.44191,0.67332,-75.48517,mean(C_b+C_w),-75.459605,0.025565000000000282
Planar,35,C,C_M,-2.43373,2.45593,0.09383,-75.09436,mean(C_b+C_w),-75.459605,-0.3652450000000016
Planar,36,C,C_w,-3.42592,4.5368,-0.8839,-75.54271,mean(C_b+C_w),-75.459605,0.08310500000000332
Planar,37,C,C_w,-3.4781,3.50782,0.07703,-75.1833,mean(C_b+C_w),-75.459605,-0.2763049999999936
Planar,38,C,C_w,-4.44137,5.49126,-0.96007,-75.50277,mean(C_b+C_w),-75.459605,0.043165000000001896
Planar,39,C,C_w,-4.55949,3.48729,0.9764,-75.53345,mean(C_b+C_w),-75.459605,0.07384500000000571
Planar,40,C,C_w,-5.52716,5.44081,-0.07925,-75.49928,mean(C_b+C_w),-75.459605,0.03967500000000257
Planar,41,C,C_w,-5.57467,4.44285,0.89773,-75.48027,mean(C_b+C_w),-75.459605,0.02066500000000815
Planar,42,C,C_L_alpha,-2.88244,-1.0956,-0.07178,-74.67981,mean(C_b+C_w),-75.459605,-0.7797949999999929
Planar,43,C,C_L_alpha,-2.86625,1.1116,0.0335,-74.65854,mean(C_b+C_w),-75.459605,-0.8010649999999941
Planar,44,C,C_L_beta,-4.24349,-0.65489,-0.23258,-75.72391,mean(C_b+C_w),-75.459605,0.26430500000000734
Planar,45,C,C_L_beta,-4.23379,0.70688,-0.15579,-75.72602,mean(C_b+C_w),-75.459605,0.2664150000000092
