structure,group,multiplicity,mean_cls_eV,std_cls_eV,min_cls_eV,max_cls_eV,atom_indices
Planar,C_L_alpha,4,-0.7910649999999926,0.010267270815557126,-0.8015449999999902,-0.7797949999999929,4 5 42 43
Planar,C_alpha,4,-0.7879124999999974,0.01148019245265603,-0.800815,-0.7741049999999916,20 21 26 27
Planar,C_M,4,-0.3484949999999998,0.017128203350032855,-0.3658750000000026,-0.32937499999999886,6 13 28 35
Planar,C_L_beta,4,0.26601250000000576,0.001436216818587722,0.26430500000000734,0.2681350000000009,2 3 44 45
Planar,C_beta,4,0.2753925000000059,0.0011132693968642117,0.27401500000000567,0.2770849999999996,22 23 24 25
Planar,C_b,12,0.0032858333333353564,0.12132646382510587,-0.2631749999999897,0.1042850000000044,14 15 16 17 18 19 29 30 31 32 33 34
Planar,C_w,12,-0.003285833333328251,0.12442165349182112,-0.2780949999999933,0.08388500000000931,7 8 9 10 11 12 36 37 38 39 40 41
PLDC-COOH,C_L_alpha,4,-0.8702216666666658,0.1668318354661319,-1.0475966666666636,-0.697416666666669,4 5 42 43
PLDC-COOH,C_alpha,4,-0.8990466666666634,0.1996371524791903,-1.1222266666666627,-0.6939466666666618,20 21 26 27
PLDC-COOH,C_M,4,-0.1020291666666644,0.10868798723294931,-0.2075966666666602,0.04968333333333419,6 13 28 35
PLDC-COOH,C_L_beta,4,0.2331333333333383,0.023892488359316254,0.20187333333333868,0.2611533333333398,2 3 44 45
PLDC-COOH,C_beta,4,0.235003333333335,0.019190416879264323,0.20969333333333395,0.2571133333333364,22 23 24 25
PLDC-COOH,C_b,12,-0.04837166666666448,0.2070808797909658,-0.47532666666666046,0.21973333333333755,14 15 16 17 18 19 29 30 31 32 33 34
PLDC-COOH,C_w,12,0.04837166666666922,0.09687323786211102,-0.1581866666666656,0.17241333333333841,7 8 9 10 11 12 36 37 38 39 40 41
PLDC-COOH,C_COOH,2,-3.6783466666666627,0.12248000000000303,-3.8008266666666657,-3.5558666666666596,76 79
