atom_index,element,carbon_group,x_A,y_A,z_A
2,C,"C_{L,\beta}",4.18128,-0.70924,-0.15523
3,C,"C_{L,\beta}",4.18858,0.65455,-0.22936
4,C,"C_{L,\alpha}",2.84704,-1.10727,0.0145
5,C,"C_{L,\alpha}",2.86417,1.08258,-0.0767
6,C,C_M,2.46328,-2.41769,0.09846
7,C,C_w,5.58784,-4.42624,0.91581
8,C,C_w,5.53883,-5.42858,-0.05839
9,C,C_w,4.57294,-3.47005,0.98714
10,C,C_w,4.45447,-5.49537,-0.93787
11,C,C_w,3.5026,-3.49995,0.08014
12,C,C_w,3.43418,-4.53973,-0.86662
13,C,C_M,2.50328,2.4095,-0.06772
14,C,C_b,5.68926,4.51837,0.63728
15,C,C_b,5.57987,5.63869,-0.2878
16,C,C_b,4.67808,3.49439,0.71331
17,C,C_b,4.39381,5.63613,-1.06047
18,C,C_b,3.55787,3.51248,-0.13075
19,C,C_b,3.4213,4.60348,-1.00589
20,C,C_{\alpha},1.04542,-2.83944,0.14085
21,C,C_{\alpha},1.08558,2.84394,0.04984
22,C,C_{\beta},0.64523,-4.16683,0.34051
23,C,C_{\beta},0.69929,4.17257,0.26992
24,C,C_{\beta},-0.71663,-4.17806,0.27201
25,C,C_{\beta},-0.66509,4.18139,0.31649
26,C,C_{\alpha},-1.12362,-2.8556,0.04995
27,C,C_{\alpha},-1.08491,2.86137,0.12818
28,C,C_M,-2.43572,-2.49005,-0.05741
29,C,C_b,-3.40654,-4.6374,-0.98087
30,C,C_b,-3.51414,-3.54397,-0.10333
31,C,C_b,-4.40135,-5.64527,-1.01055
32,C,C_b,-4.63697,-3.46235,0.73204
33,C,C_b,-5.56478,-5.5197,-0.19443
34,C,C_b,-5.64076,-4.42855,0.67267
35,C,C_M,-2.39775,2.49158,0.10268
36,C,C_w,-3.42482,4.54851,-0.88091
37,C,C_w,-3.47155,3.53449,0.08763
38,C,C_w,-4.44395,5.49928,-0.96025
39,C,C_w,-4.55728,3.48782,0.98192
40,C,C_w,-5.52363,5.44352,-0.07577
41,C,C_w,-5.57652,4.44319,0.90154
42,C,"C_{L,\alpha}",-2.86207,-1.07174,-0.08323
43,C,"C_{L,\alpha}",-2.84417,1.08292,0.00716
44,C,"C_{L,\beta}",-4.18854,-0.65423,-0.24112
45,C,"C_{L,\beta}",-4.17892,0.70413,-0.16824
76,C,C_{COO} (added),-6.77845,-6.40956,-0.22012
79,C,C_{COO} (added),6.6056,6.84298,-0.53709
