atom_index,element,group,x_A,y_A,z_A,qe_type,is_contribution_eV,reference_definition,reference_eV,cls_eV
2,C,C_L_beta,4.12735,-0.68977,-0.4848,2,-75.00839,mean(C_b+C_w),-75.08949458333333,-0.08110458333332815
3,C,C_L_beta,4.12813,0.6856,-0.4841,2,-75.00807,mean(C_b+C_w),-75.08949458333333,-0.08142458333333025
4,C,C_L_alpha,2.83986,-1.10594,0.00996,2,-73.88169,mean(C_b+C_w),-75.08949458333333,-1.2078045833333277
5,C,C_L_alpha,2.84083,1.10271,0.01018,2,-73.8791,mean(C_b+C_w),-75.08949458333333,-1.2103945833333398
6,C,C_M,2.41931,-2.43176,0.28567,2,-74.83024,mean(C_b+C_w),-75.08949458333333,-0.2592545833333304
7,C,C_w,5.47701,-4.64757,0.69062,2,-75.11039,mean(C_b+C_w),-75.08949458333333,0.020895416666661504
8,C,C_w,5.01484,-5.84945,0.14747,2,-75.12189,mean(C_b+C_w),-75.08949458333333,0.03239541666665957
9,C,C_w,4.66156,-3.51691,0.70405,2,-75.15973,mean(C_b+C_w),-75.08949458333333,0.07023541666666233
10,C,C_w,3.73098,-5.90807,-0.40513,2,-75.08095,mean(C_b+C_w),-75.08949458333333,-0.008544583333332412
11,C,C_w,3.35651,-3.56561,0.17678,2,-74.82993,mean(C_b+C_w),-75.08949458333333,-0.2595645833333293
12,C,C_w,2.91242,-4.78112,-0.39534,2,-75.23344,mean(C_b+C_w),-75.08949458333333,0.14394541666666782
13,C,C_M,2.42166,2.42926,0.28238,2,-74.82571,mean(C_b+C_w),-75.08949458333333,-0.263784583333333
14,C,C_b,5.48469,4.63453,0.70216,2,-75.10907,mean(C_b+C_w),-75.08949458333333,0.019575416666668843
15,C,C_b,5.0309,5.83614,0.15154,2,-75.12312,mean(C_b+C_w),-75.08949458333333,0.0336254166666663
16,C,C_b,4.66423,3.50729,0.71296,2,-75.15861,mean(C_b+C_w),-75.08949458333333,0.0691154166666621
17,C,C_b,3.75123,5.89794,-0.41036,2,-75.08159,mean(C_b+C_w),-75.08949458333333,-0.007904583333328219
18,C,C_b,3.36339,3.55962,0.17593,2,-74.82968,mean(C_b+C_w),-75.08949458333333,-0.2598145833333376
19,C,C_b,2.92793,4.77478,-0.40298,2,-75.23118,mean(C_b+C_w),-75.08949458333333,0.141685416666661
20,C,C_alpha,1.0956,-2.76088,0.67344,2,-74.40457,mean(C_b+C_w),-75.08949458333333,-0.6849245833333271
21,C,C_alpha,1.09781,2.76208,0.66533,2,-74.40236,mean(C_b+C_w),-75.08949458333333,-0.6871345833333322
22,C,C_beta,0.68052,-4.00409,1.27724,2,-75.59932,mean(C_b+C_w),-75.08949458333333,0.509825416666672
23,C,C_beta,0.68336,4.00917,1.26107,2,-75.59534,mean(C_b+C_w),-75.08949458333333,0.5058454166666593
24,C,C_beta,-0.68575,-4.00411,1.27661,2,-75.59758,mean(C_b+C_w),-75.08949458333333,0.5080854166666597
25,C,C_beta,-0.68269,4.00892,1.26339,2,-75.59548,mean(C_b+C_w),-75.08949458333333,0.5059854166666611
26,C,C_alpha,-1.10061,-2.76117,0.67253,2,-74.40494,mean(C_b+C_w),-75.08949458333333,-0.6845545833333375
27,C,C_alpha,-1.09847,2.76195,0.66843,2,-74.40058,mean(C_b+C_w),-75.08949458333333,-0.6889145833333288
28,C,C_M,-2.42445,-2.43175,0.28523,2,-74.83096,mean(C_b+C_w),-75.08949458333333,-0.25853458333332924
29,C,C_b,-2.92112,-4.781,-0.3937,2,-75.23445,mean(C_b+C_w),-75.08949458333333,0.14495541666666156
30,C,C_b,-3.3635,-3.56459,0.17798,2,-74.83117,mean(C_b+C_w),-75.08949458333333,-0.25832458333333363
31,C,C_b,-3.74065,-5.90718,-0.40206,2,-75.08286,mean(C_b+C_w),-75.08949458333333,-0.006634583333337218
32,C,C_b,-4.66833,-3.51414,0.70594,2,-75.16059,mean(C_b+C_w),-75.08949458333333,0.0710954166666653
33,C,C_b,-5.02388,-5.84692,0.15185,2,-75.1262,mean(C_b+C_w),-75.08949458333333,0.03670541666666338
34,C,C_b,-5.48486,-4.64411,0.69421,2,-75.11173,mean(C_b+C_w),-75.08949458333333,0.022235416666660512
35,C,C_M,-2.42317,2.42916,0.2893,2,-74.82511,mean(C_b+C_w),-75.08949458333333,-0.2643845833333387
36,C,C_w,-2.94109,4.77554,-0.38637,2,-75.23099,mean(C_b+C_w),-75.08949458333333,0.14149541666667176
37,C,C_w,-3.3679,3.55739,0.19244,2,-74.82707,mean(C_b+C_w),-75.08949458333333,-0.26242458333332763
38,C,C_w,-3.76979,5.89482,-0.38673,2,-75.07974,mean(C_b+C_w),-75.08949458333333,-0.00975458333333279
39,C,C_w,-4.66515,3.49764,0.73759,2,-75.15907,mean(C_b+C_w),-75.08949458333333,0.069575416666666
40,C,C_w,-5.04519,5.82589,0.18382,2,-75.12203,mean(C_b+C_w),-75.08949458333333,0.032535416666661376
41,C,C_w,-5.49009,4.62152,0.73533,2,-75.11239,mean(C_b+C_w),-75.08949458333333,0.022895416666671053
42,C,C_L_alpha,-2.84294,-1.10513,0.00999,2,-73.88454,mean(C_b+C_w),-75.08949458333333,-1.2049545833333326
43,C,C_L_alpha,-2.84264,1.10329,0.01367,2,-73.87997,mean(C_b+C_w),-75.08949458333333,-1.2095245833333337
44,C,C_L_beta,-4.13054,-0.68717,-0.48274,2,-75.00823,mean(C_b+C_w),-75.08949458333333,-0.0812645833333363
45,C,C_L_beta,-4.13066,0.68818,-0.47992,2,-75.00727,mean(C_b+C_w),-75.08949458333333,-0.08222458333332838
46,N,N_L,2.06443,-0.0012,0.26198,3,-132.51833,mean(all N),-133.0147725,-0.49644250000000056
47,N,N,-0.00244,-1.99018,0.40295,3,-133.50975,mean(all N),-133.0147725,0.4949775000000045
48,N,N,-0.00062,1.98954,0.40106,3,-133.50878,mean(all N),-133.0147725,0.49400750000000926
49,N,N_L,-2.066,-0.0012,0.26198,3,-132.52223,mean(all N),-133.0147725,-0.4925424999999848
