atom_index,element,group,x_A,y_A,z_A,qe_type,is_contribution_eV,reference_definition,reference_eV,cls_eV
2,C,C_L_beta,4.08368,-0.6622,-0.25826,2,-74.94873,mean(C_b+C_w),-74.90639625,0.042333749999997394
3,C,C_L_beta,4.08348,0.68646,-0.26723,2,-74.93926,mean(C_b+C_w),-74.90639625,0.03286375000000419
4,C,C_L_alpha,2.78678,-1.10196,0.25963,2,-73.94161,mean(C_b+C_w),-74.90639625,-0.9647862500000031
5,C,C_L_alpha,2.78648,1.13275,0.24494,2,-73.92931,mean(C_b+C_w),-74.90639625,-0.9770862499999993
6,C,C_M,2.4415,-2.3795,0.42122,2,-74.60217,mean(C_b+C_w),-74.90639625,-0.30422624999999925
7,C,C_w,5.59842,-4.54135,0.59587,2,-74.89608,mean(C_b+C_w),-74.90639625,-0.01031625000000247
8,C,C_w,5.1792,-5.70307,-0.05361,2,-74.88282,mean(C_b+C_w),-74.90639625,-0.02357625000000496
9,C,C_w,4.72762,-3.45521,0.72932,2,-74.93562,mean(C_b+C_w),-74.90639625,0.029223749999999882
10,C,C_w,3.89043,-5.78051,-0.57956,2,-74.8697,mean(C_b+C_w),-74.90639625,-0.03669625000000565
11,C,C_w,3.41719,-3.51739,0.21023,2,-74.74596,mean(C_b+C_w),-74.90639625,-0.1604362500000036
12,C,C_w,3.01493,-4.69951,-0.45224,2,-74.99967,mean(C_b+C_w),-74.90639625,0.09327374999999449
13,C,C_M,2.44242,2.41186,0.3965,2,-74.59145,mean(C_b+C_w),-74.90639625,-0.31494625000000553
14,C,C_b,5.60644,4.55954,0.58356,2,-74.89492,mean(C_b+C_w),-74.90639625,-0.011476250000001187
15,C,C_b,5.19518,5.72385,-0.06599,2,-74.87975,mean(C_b+C_w),-74.90639625,-0.026646249999998872
16,C,C_b,4.73044,3.47744,0.71139,2,-74.92544,mean(C_b+C_w),-74.90639625,0.019043749999994475
17,C,C_b,3.90915,5.80748,-0.59806,2,-74.86739,mean(C_b+C_w),-74.90639625,-0.03900624999999991
18,C,C_b,3.42263,3.54559,0.18627,2,-74.74539,mean(C_b+C_w),-74.90639625,-0.1610062499999998
19,C,C_b,3.02825,4.72996,-0.47659,2,-74.99263,mean(C_b+C_w),-74.90639625,0.08623375000000522
20,C,C_alpha,1.06217,-2.7057,0.77399,2,-74.08473,mean(C_b+C_w),-74.90639625,-0.8216662500000069
21,C,C_alpha,1.06251,2.74186,0.74502,2,-74.09262,mean(C_b+C_w),-74.90639625,-0.8137762500000036
22,C,C_beta,0.67346,-4.04786,1.22604,2,-75.53045,mean(C_b+C_w),-74.90639625,0.6240537500000016
23,C,C_beta,0.67316,4.08652,1.1891,2,-75.5385,mean(C_b+C_w),-74.90639625,0.6321037499999989
24,C,C_beta,-0.66794,-4.09312,1.21918,2,-75.43663,mean(C_b+C_w),-74.90639625,0.5302337499999936
25,C,C_beta,-0.66862,4.13019,1.18577,2,-75.43674,mean(C_b+C_w),-74.90639625,0.5303437500000001
26,C,C_alpha,-1.10244,-2.78141,0.76174,2,-74.38386,mean(C_b+C_w),-74.90639625,-0.5225362500000017
27,C,C_alpha,-1.10272,2.81578,0.73628,2,-74.3863,mean(C_b+C_w),-74.90639625,-0.5200962499999946
28,C,C_M,-2.3505,-2.47858,0.39956,2,-74.74749,mean(C_b+C_w),-74.90639625,-0.15890625000000114
29,C,C_b,-3.07817,-4.80426,-0.29854,2,-75.05118,mean(C_b+C_w),-74.90639625,0.144783750000002
30,C,C_b,-3.39997,-3.56036,0.29639,2,-74.77206,mean(C_b+C_w),-74.90639625,-0.13433625000000404
31,C,C_b,-4.02259,-5.82514,-0.38425,2,-74.88929,mean(C_b+C_w),-74.90639625,-0.017106249999997658
32,C,C_b,-4.7102,-3.36444,0.77017,2,-74.98915,mean(C_b+C_w),-74.90639625,0.08275374999999485
33,C,C_b,-5.30734,-5.62783,0.11432,2,-74.9331,mean(C_b+C_w),-74.90639625,0.026703749999995807
34,C,C_b,-5.65359,-4.39966,0.68604,2,-74.95382,mean(C_b+C_w),-74.90639625,0.04742374999999299
35,C,C_M,-2.35175,2.50849,0.38102,2,-74.73375,mean(C_b+C_w),-74.90639625,-0.17264624999999967
36,C,C_w,-3.1045,4.83018,-0.30357,2,-75.03414,mean(C_b+C_w),-74.90639625,0.12774374999999338
37,C,C_w,-3.40896,3.58222,0.29051,2,-74.75802,mean(C_b+C_w),-74.90639625,-0.14837624999999832
38,C,C_w,-4.0584,5.84368,-0.37234,2,-74.88216,mean(C_b+C_w),-74.90639625,-0.02423625000000129
39,C,C_w,-4.71088,3.37385,0.78162,2,-74.97999,mean(C_b+C_w),-74.90639625,0.07359375000000057
40,C,C_w,-5.33479,5.63415,0.14323,2,-74.93067,mean(C_b+C_w),-74.90639625,0.02427375000000609
41,C,C_w,-5.66346,4.40122,0.71481,2,-74.94456,mean(C_b+C_w),-74.90639625,0.03816374999999539
42,C,C_L_alpha,-2.64127,-1.08389,0.07001,2,-74.0127,mean(C_b+C_w),-74.90639625,-0.893696250000005
43,C,C_L_alpha,-2.64008,1.11281,0.05726,2,-73.98827,mean(C_b+C_w),-74.90639625,-0.9181262500000003
44,C,C_L_beta,-3.7194,-0.67361,-0.59682,2,-74.54691,mean(C_b+C_w),-74.90639625,-0.35948625000000334
45,C,C_L_beta,-3.7191,0.69664,-0.60409,2,-74.54123,mean(C_b+C_w),-74.90639625,-0.36516625000000147
